A,Element,Z,N,Parent E(level),Uncertainty,JPi,Decay Mode,Decay Mode Value,Decay Mode Uncertainty,Q Value,Q Value Uncertainty,T1/2 (txt),T1/2 (sec),Gammas Balance,X-Rays Balance,B- Balance,B+ Balance,Conversion Electrons Balance,Auger Electrons Balance,Neutrinos Balance,Recoil Balance,Neutrons Balance, Protons Balance,Alphas Balance,Sum Balance,Q-effective Balance,Missing Energy Balance,Ratio Balance,Daughter,Radiation,Rad subtype,Rad Energy,Uncertainty, EP Energy,Uncertainty,Rad Intensity,Uncertainty,Dose,Uncertainty
92,Rh,45,47,0+X,,(|>6+),EC,100,,11302,5,4.66 S 25,4.66,3.78E+3 18,0.111 6,0,3.6E+3 3,0,0.0427 25,4.1E+3 4,0,0,0,0,1.14E+4 5,11301 5,0 AP,0 % AP,92Ru,g,XR l,2.56,,,,0.036,3,9.2E-7,7
92,Rh,45,47,0+X,,(|>6+),EC,100,,11302,5,4.66 S 25,4.66,3.78E+3 18,0.111 6,0,3.6E+3 3,0,0.0427 25,4.1E+3 4,0,0,0,0,1.14E+4 5,11301 5,0 AP,0 % AP,92Ru,g,XR ka2,19.15,,,,0.165,15,3.2E-5,3
92,Rh,45,47,0+X,,(|>6+),EC,100,,11302,5,4.66 S 25,4.66,3.78E+3 18,0.111 6,0,3.6E+3 3,0,0.0427 25,4.1E+3 4,0,0,0,0,1.14E+4 5,11301 5,0 AP,0 % AP,92Ru,g,XR ka1,19.279,,,,0.31,3,6.0E-5,5
92,Rh,45,47,0+X,,(|>6+),EC,100,,11302,5,4.66 S 25,4.66,3.78E+3 18,0.111 6,0,3.6E+3 3,0,0.0427 25,4.1E+3 4,0,0,0,0,1.14E+4 5,11301 5,0 AP,0 % AP,92Ru,g,XR kb3,21.634,,,,0.0256,23,5.5E-6,5
92,Rh,45,47,0+X,,(|>6+),EC,100,,11302,5,4.66 S 25,4.66,3.78E+3 18,0.111 6,0,3.6E+3 3,0,0.0427 25,4.1E+3 4,0,0,0,0,1.14E+4 5,11301 5,0 AP,0 % AP,92Ru,g,XR kb1,21.657,,,,0.050,4,1.07E-5,10
92,Rh,45,47,0+X,,(|>6+),EC,100,,11302,5,4.66 S 25,4.66,3.78E+3 18,0.111 6,0,3.6E+3 3,0,0.0427 25,4.1E+3 4,0,0,0,0,1.14E+4 5,11301 5,0 AP,0 % AP,92Ru,g,XR kb2,22.074,,,,0.0116,10,2.57E-6,23
92,Rh,45,47,0+X,,(|>6+),EC,100,,11302,5,4.66 S 25,4.66,3.78E+3 18,0.111 6,0,3.6E+3 3,0,0.0427 25,4.1E+3 4,0,0,0,0,1.14E+4 5,11301 5,0 AP,0 % AP,92Ru,g,,163.1,2,,,6.8,20,0.011,3
92,Rh,45,47,0+X,,(|>6+),EC,100,,11302,5,4.66 S 25,4.66,3.78E+3 18,0.111 6,0,3.6E+3 3,0,0.0427 25,4.1E+3 4,0,0,0,0,1.14E+4 5,11301 5,0 AP,0 % AP,92Ru,g,,339.9,2,,,43,4,0.146,14
92,Rh,45,47,0+X,,(|>6+),EC,100,,11302,5,4.66 S 25,4.66,3.78E+3 18,0.111 6,0,3.6E+3 3,0,0.0427 25,4.1E+3 4,0,0,0,0,1.14E+4 5,11301 5,0 AP,0 % AP,92Ru,g,Annihil.,511.0,,,,200,19,,
92,Rh,45,47,0+X,,(|>6+),EC,100,,11302,5,4.66 S 25,4.66,3.78E+3 18,0.111 6,0,3.6E+3 3,0,0.0427 25,4.1E+3 4,0,0,0,0,1.14E+4 5,11301 5,0 AP,0 % AP,92Ru,g,,817.8,1,,,76,9,0.62,7
